Track 0: 
Track 1: Piano RH
Note 69 (A)| velocity 120 | tempo: 6 | time: 205.50 seconds | frame: 4931 => Midi message: (note_on channel=0 note=69 velocity=120 time=6)
Note 71 (B)| velocity 120 | tempo: 0 | time: 205.77 seconds | frame: 4938 => Midi message: (note_on channel=0 note=71 velocity=120 time=0)
Note 62 (D)| velocity 120 | tempo: 100 | time: 206.62 seconds | frame: 4958 => Midi message: (note_on channel=0 note=62 velocity=120 time=100)
Note 72 (C)| velocity 120 | tempo: 96 | time: 206.91 seconds | frame: 4965 => Midi message: (note_on channel=0 note=72 velocity=120 time=96)
Note 71 (B)| velocity 120 | tempo: 6 | time: 207.19 seconds | frame: 4972 => Midi message: (note_on channel=0 note=71 velocity=120 time=6)
Note 69 (A)| velocity 120 | tempo: 2 | time: 207.48 seconds | frame: 4979 => Midi message: (note_on channel=0 note=69 velocity=120 time=2)
Note 60 (C)| velocity 120 | tempo: 0 | time: 207.48 seconds | frame: 4979 => Midi message: (note_on channel=0 note=60 velocity=120 time=0)
Note 71 (B)| velocity 120 | tempo: 96 | time: 208.32 seconds | frame: 4999 => Midi message: (note_on channel=0 note=71 velocity=120 time=96)
Note 72 (C)| velocity 120 | tempo: 4 | time: 208.60 seconds | frame: 5006 => Midi message: (note_on channel=0 note=72 velocity=120 time=4)
Note 74 (D)| velocity 120 | tempo: 4 | time: 208.89 seconds | frame: 5013 => Midi message: (note_on channel=0 note=74 velocity=120 time=4)
Note 76 (E)| velocity 120 | tempo: 4 | time: 209.17 seconds | frame: 5020 => Midi message: (note_on channel=0 note=76 velocity=120 time=4)
Note 67 (G)| velocity 120 | tempo: 4 | time: 210.02 seconds | frame: 5040 => Midi message: (note_on channel=0 note=67 velocity=120 time=4)
Note 77 (F)| velocity 120 | tempo: 4 | time: 210.30 seconds | frame: 5047 => Midi message: (note_on channel=0 note=77 velocity=120 time=4)
Note 76 (E)| velocity 120 | tempo: 6 | time: 210.59 seconds | frame: 5054 => Midi message: (note_on channel=0 note=76 velocity=120 time=6)
Note 74 (D)| velocity 120 | tempo: 0 | time: 210.87 seconds | frame: 5060 => Midi message: (note_on channel=0 note=74 velocity=120 time=0)
Note 65 (F)| velocity 120 | tempo: 6 | time: 211.72 seconds | frame: 5081 => Midi message: (note_on channel=0 note=65 velocity=120 time=6)
Note 76 (E)| velocity 120 | tempo: 2 | time: 212.01 seconds | frame: 5088 => Midi message: (note_on channel=0 note=76 velocity=120 time=2)
Note 74 (D)| velocity 120 | tempo: 2 | time: 212.29 seconds | frame: 5094 => Midi message: (note_on channel=0 note=74 velocity=120 time=2)
Note 72 (C)| velocity 120 | tempo: 0 | time: 212.57 seconds | frame: 5101 => Midi message: (note_on channel=0 note=72 velocity=120 time=0)
Note 64 (E)| velocity 120 | tempo: 6 | time: 213.42 seconds | frame: 5122 => Midi message: (note_on channel=0 note=64 velocity=120 time=6)
Note 74 (D)| velocity 120 | tempo: 0 | time: 213.70 seconds | frame: 5128 => Midi message: (note_on channel=0 note=74 velocity=120 time=0)
Note 72 (C)| velocity 120 | tempo: 4 | time: 213.98 seconds | frame: 5135 => Midi message: (note_on channel=0 note=72 velocity=120 time=4)
Note 71 (B)| velocity 120 | tempo: 6 | time: 214.27 seconds | frame: 5142 => Midi message: (note_on channel=0 note=71 velocity=120 time=6)
Note 64 (E)| velocity 120 | tempo: 146 | time: 215.12 seconds | frame: 5162 => Midi message: (note_on channel=0 note=64 velocity=120 time=146)
Note 76 (E)| velocity 120 | tempo: 48 | time: 215.40 seconds | frame: 5169 => Midi message: (note_on channel=0 note=76 velocity=120 time=48)
Note 76 (E)| velocity 120 | tempo: 198 | time: 216.25 seconds | frame: 5190 => Midi message: (note_on channel=0 note=76 velocity=120 time=198)
Note 88 (E)| velocity 120 | tempo: 50 | time: 216.53 seconds | frame: 5196 => Midi message: (note_on channel=0 note=88 velocity=120 time=50)
Note 75 (D#)| velocity 120 | tempo: 142 | time: 217.38 seconds | frame: 5217 => Midi message: (note_on channel=0 note=75 velocity=120 time=142)
Note 76 (E)| velocity 120 | tempo: 52 | time: 217.66 seconds | frame: 5223 => Midi message: (note_on channel=0 note=76 velocity=120 time=52)
Note 75 (D#)| velocity 120 | tempo: 196 | time: 218.51 seconds | frame: 5244 => Midi message: (note_on channel=0 note=75 velocity=120 time=196)
Note 76 (E)| velocity 120 | tempo: 54 | time: 218.80 seconds | frame: 5251 => Midi message: (note_on channel=0 note=76 velocity=120 time=54)
Note 75 (D#)| velocity 120 | tempo: 0 | time: 219.07 seconds | frame: 5257 => Midi message: (note_on channel=0 note=75 velocity=120 time=0)
Note 76 (E)| velocity 120 | tempo: 54 | time: 219.36 seconds | frame: 5264 => Midi message: (note_on channel=0 note=76 velocity=120 time=54)
Note 75 (D#)| velocity 120 | tempo: 0 | time: 219.64 seconds | frame: 5271 => Midi message: (note_on channel=0 note=75 velocity=120 time=0)
Note 76 (E)| velocity 120 | tempo: 6 | time: 219.93 seconds | frame: 5278 => Midi message: (note_on channel=0 note=76 velocity=120 time=6)
Note 71 (B)| velocity 120 | tempo: 0 | time: 220.21 seconds | frame: 5284 => Midi message: (note_on channel=0 note=71 velocity=120 time=0)
Note 74 (D)| velocity 120 | tempo: 4 | time: 220.49 seconds | frame: 5291 => Midi message: (note_on channel=0 note=74 velocity=120 time=4)
Note 72 (C)| velocity 120 | tempo: 6 | time: 220.78 seconds | frame: 5298 => Midi message: (note_on channel=0 note=72 velocity=120 time=6)
Note 69 (A)| velocity 120 | tempo: 48 | time: 221.06 seconds | frame: 5305 => Midi message: (note_on channel=0 note=69 velocity=120 time=48)
Note 60 (C)| velocity 120 | tempo: 142 | time: 221.91 seconds | frame: 5325 => Midi message: (note_on channel=0 note=60 velocity=120 time=142)
Note 64 (E)| velocity 120 | tempo: 6 | time: 222.19 seconds | frame: 5332 => Midi message: (note_on channel=0 note=64 velocity=120 time=6)
Note 69 (A)| velocity 120 | tempo: 0 | time: 222.47 seconds | frame: 5339 => Midi message: (note_on channel=0 note=69 velocity=120 time=0)
Note 71 (B)| velocity 120 | tempo: 4 | time: 222.75 seconds | frame: 5346 => Midi message: (note_on channel=0 note=71 velocity=120 time=4)
Note 64 (E)| velocity 120 | tempo: 100 | time: 223.60 seconds | frame: 5366 => Midi message: (note_on channel=0 note=64 velocity=120 time=100)
Note 68 (G#)| velocity 120 | tempo: 4 | time: 223.89 seconds | frame: 5373 => Midi message: (note_on channel=0 note=68 velocity=120 time=4)
Note 71 (B)| velocity 120 | tempo: 6 | time: 224.18 seconds | frame: 5380 => Midi message: (note_on channel=0 note=71 velocity=120 time=6)
Note 72 (C)| velocity 120 | tempo: 2 | time: 224.46 seconds | frame: 5386 => Midi message: (note_on channel=0 note=72 velocity=120 time=2)
Note 64 (E)| velocity 120 | tempo: 98 | time: 225.31 seconds | frame: 5407 => Midi message: (note_on channel=0 note=64 velocity=120 time=98)
Note 76 (E)| velocity 120 | tempo: 50 | time: 225.59 seconds | frame: 5414 => Midi message: (note_on channel=0 note=76 velocity=120 time=50)
Note 75 (D#)| velocity 120 | tempo: 2 | time: 225.87 seconds | frame: 5420 => Midi message: (note_on channel=0 note=75 velocity=120 time=2)
Note 76 (E)| velocity 120 | tempo: 0 | time: 226.15 seconds | frame: 5427 => Midi message: (note_on channel=0 note=76 velocity=120 time=0)
Note 75 (D#)| velocity 120 | tempo: 4 | time: 226.43 seconds | frame: 5434 => Midi message: (note_on channel=0 note=75 velocity=120 time=4)
Note 76 (E)| velocity 120 | tempo: 6 | time: 226.72 seconds | frame: 5441 => Midi message: (note_on channel=0 note=76 velocity=120 time=6)
Note 71 (B)| velocity 120 | tempo: 2 | time: 227.01 seconds | frame: 5448 => Midi message: (note_on channel=0 note=71 velocity=120 time=2)
Note 74 (D)| velocity 120 | tempo: 2 | time: 227.29 seconds | frame: 5454 => Midi message: (note_on channel=0 note=74 velocity=120 time=2)
Note 72 (C)| velocity 120 | tempo: 0 | time: 227.57 seconds | frame: 5461 => Midi message: (note_on channel=0 note=72 velocity=120 time=0)
Note 69 (A)| velocity 120 | tempo: 4 | time: 227.85 seconds | frame: 5468 => Midi message: (note_on channel=0 note=69 velocity=120 time=4)
Note 60 (C)| velocity 120 | tempo: 150 | time: 228.70 seconds | frame: 5488 => Midi message: (note_on channel=0 note=60 velocity=120 time=150)
Note 64 (E)| velocity 120 | tempo: 0 | time: 228.98 seconds | frame: 5495 => Midi message: (note_on channel=0 note=64 velocity=120 time=0)
Note 69 (A)| velocity 120 | tempo: 4 | time: 229.26 seconds | frame: 5502 => Midi message: (note_on channel=0 note=69 velocity=120 time=4)
Note 71 (B)| velocity 120 | tempo: 4 | time: 229.55 seconds | frame: 5509 => Midi message: (note_on channel=0 note=71 velocity=120 time=4)
Note 62 (D)| velocity 120 | tempo: 102 | time: 230.40 seconds | frame: 5529 => Midi message: (note_on channel=0 note=62 velocity=120 time=102)
Note 72 (C)| velocity 120 | tempo: 2 | time: 230.68 seconds | frame: 5536 => Midi message: (note_on channel=0 note=72 velocity=120 time=2)
Note 71 (B)| velocity 120 | tempo: 2 | time: 230.97 seconds | frame: 5543 => Midi message: (note_on channel=0 note=71 velocity=120 time=2)
Note 69 (A)| velocity 120 | tempo: 48 | time: 231.24 seconds | frame: 5549 => Midi message: (note_on channel=0 note=69 velocity=120 time=48)
Note 60 (C)| velocity 120 | tempo: 2 | time: 231.25 seconds | frame: 5550 => Midi message: (note_on channel=0 note=60 velocity=120 time=2)
Note 72 (C)| velocity 120 | tempo: 146 | time: 232.10 seconds | frame: 5570 => Midi message: (note_on channel=0 note=72 velocity=120 time=146)
Note 64 (E)| velocity 120 | tempo: 0 | time: 232.10 seconds | frame: 5570 => Midi message: (note_on channel=0 note=64 velocity=120 time=0)
