Track 0: Track 0
Track 1: Für Elise
Note 72 (C)| velocity 76 | tempo: 0 | time: 29.36 seconds | frame: 704 => Midi message: (note_on channel=0 note=72 velocity=76 time=0)
Note 69 (A)| velocity 76 | tempo: 0 | time: 29.57 seconds | frame: 709 => Midi message: (note_on channel=0 note=69 velocity=76 time=0)
Note 45 (A)| velocity 64 | tempo: 0 | time: 29.57 seconds | frame: 709 => Midi message: (note_on channel=0 note=45 velocity=64 time=0)
Note 52 (E)| velocity 70 | tempo: 0 | time: 29.79 seconds | frame: 714 => Midi message: (note_on channel=0 note=52 velocity=70 time=0)
Note 57 (A)| velocity 76 | tempo: 0 | time: 30.00 seconds | frame: 720 => Midi message: (note_on channel=0 note=57 velocity=76 time=0)
Note 60 (C)| velocity 76 | tempo: 0 | time: 30.21 seconds | frame: 725 => Midi message: (note_on channel=0 note=60 velocity=76 time=0)
Note 64 (E)| velocity 76 | tempo: 0 | time: 30.43 seconds | frame: 730 => Midi message: (note_on channel=0 note=64 velocity=76 time=0)
Note 69 (A)| velocity 76 | tempo: 0 | time: 30.64 seconds | frame: 735 => Midi message: (note_on channel=0 note=69 velocity=76 time=0)
Note 71 (B)| velocity 76 | tempo: 0 | time: 30.86 seconds | frame: 740 => Midi message: (note_on channel=0 note=71 velocity=76 time=0)
Note 40 (E)| velocity 64 | tempo: 0 | time: 30.86 seconds | frame: 740 => Midi message: (note_on channel=0 note=40 velocity=64 time=0)
Note 52 (E)| velocity 70 | tempo: 0 | time: 31.07 seconds | frame: 745 => Midi message: (note_on channel=0 note=52 velocity=70 time=0)
Note 56 (G#)| velocity 76 | tempo: 0 | time: 31.29 seconds | frame: 750 => Midi message: (note_on channel=0 note=56 velocity=76 time=0)
Note 64 (E)| velocity 76 | tempo: 0 | time: 31.50 seconds | frame: 756 => Midi message: (note_on channel=0 note=64 velocity=76 time=0)
Note 68 (G#)| velocity 76 | tempo: 0 | time: 31.71 seconds | frame: 761 => Midi message: (note_on channel=0 note=68 velocity=76 time=0)
Note 71 (B)| velocity 76 | tempo: 0 | time: 31.93 seconds | frame: 766 => Midi message: (note_on channel=0 note=71 velocity=76 time=0)
Note 72 (C)| velocity 76 | tempo: 0 | time: 32.14 seconds | frame: 771 => Midi message: (note_on channel=0 note=72 velocity=76 time=0)
Note 45 (A)| velocity 70 | tempo: 0 | time: 32.14 seconds | frame: 771 => Midi message: (note_on channel=0 note=45 velocity=70 time=0)
Note 52 (E)| velocity 76 | tempo: 0 | time: 32.36 seconds | frame: 776 => Midi message: (note_on channel=0 note=52 velocity=76 time=0)
Note 57 (A)| velocity 76 | tempo: 0 | time: 32.57 seconds | frame: 781 => Midi message: (note_on channel=0 note=57 velocity=76 time=0)
Note 64 (E)| velocity 76 | tempo: 0 | time: 32.79 seconds | frame: 786 => Midi message: (note_on channel=0 note=64 velocity=76 time=0)
Note 76 (E)| velocity 76 | tempo: 0 | time: 33.00 seconds | frame: 792 => Midi message: (note_on channel=0 note=76 velocity=76 time=0)
Note 75 (D#)| velocity 76 | tempo: 0 | time: 33.21 seconds | frame: 797 => Midi message: (note_on channel=0 note=75 velocity=76 time=0)
Note 76 (E)| velocity 76 | tempo: 0 | time: 33.43 seconds | frame: 802 => Midi message: (note_on channel=0 note=76 velocity=76 time=0)
Note 75 (D#)| velocity 70 | tempo: 0 | time: 33.64 seconds | frame: 807 => Midi message: (note_on channel=0 note=75 velocity=70 time=0)
Note 76 (E)| velocity 76 | tempo: 0 | time: 33.86 seconds | frame: 812 => Midi message: (note_on channel=0 note=76 velocity=76 time=0)
Note 71 (B)| velocity 70 | tempo: 0 | time: 34.07 seconds | frame: 817 => Midi message: (note_on channel=0 note=71 velocity=70 time=0)
Note 74 (D)| velocity 76 | tempo: 0 | time: 34.29 seconds | frame: 822 => Midi message: (note_on channel=0 note=74 velocity=76 time=0)
Note 72 (C)| velocity 76 | tempo: 0 | time: 34.50 seconds | frame: 828 => Midi message: (note_on channel=0 note=72 velocity=76 time=0)
Note 69 (A)| velocity 83 | tempo: 0 | time: 34.71 seconds | frame: 833 => Midi message: (note_on channel=0 note=69 velocity=83 time=0)
Note 45 (A)| velocity 64 | tempo: 0 | time: 34.71 seconds | frame: 833 => Midi message: (note_on channel=0 note=45 velocity=64 time=0)
Note 52 (E)| velocity 76 | tempo: 0 | time: 34.93 seconds | frame: 838 => Midi message: (note_on channel=0 note=52 velocity=76 time=0)
Note 57 (A)| velocity 76 | tempo: 0 | time: 35.14 seconds | frame: 843 => Midi message: (note_on channel=0 note=57 velocity=76 time=0)
Note 60 (C)| velocity 76 | tempo: 0 | time: 35.36 seconds | frame: 848 => Midi message: (note_on channel=0 note=60 velocity=76 time=0)
Note 64 (E)| velocity 76 | tempo: 0 | time: 35.57 seconds | frame: 853 => Midi message: (note_on channel=0 note=64 velocity=76 time=0)
Note 69 (A)| velocity 76 | tempo: 0 | time: 35.79 seconds | frame: 858 => Midi message: (note_on channel=0 note=69 velocity=76 time=0)
Note 71 (B)| velocity 76 | tempo: 0 | time: 36.00 seconds | frame: 864 => Midi message: (note_on channel=0 note=71 velocity=76 time=0)
Note 40 (E)| velocity 64 | tempo: 0 | time: 36.00 seconds | frame: 864 => Midi message: (note_on channel=0 note=40 velocity=64 time=0)
Note 52 (E)| velocity 70 | tempo: 0 | time: 36.21 seconds | frame: 869 => Midi message: (note_on channel=0 note=52 velocity=70 time=0)
Note 56 (G#)| velocity 76 | tempo: 0 | time: 36.43 seconds | frame: 874 => Midi message: (note_on channel=0 note=56 velocity=76 time=0)
Note 64 (E)| velocity 76 | tempo: 0 | time: 36.64 seconds | frame: 879 => Midi message: (note_on channel=0 note=64 velocity=76 time=0)
Note 72 (C)| velocity 76 | tempo: 0 | time: 36.86 seconds | frame: 884 => Midi message: (note_on channel=0 note=72 velocity=76 time=0)
Note 71 (B)| velocity 76 | tempo: 0 | time: 37.07 seconds | frame: 889 => Midi message: (note_on channel=0 note=71 velocity=76 time=0)
Note 69 (A)| velocity 76 | tempo: 0 | time: 37.29 seconds | frame: 894 => Midi message: (note_on channel=0 note=69 velocity=76 time=0)
Note 45 (A)| velocity 70 | tempo: 0 | time: 37.29 seconds | frame: 894 => Midi message: (note_on channel=0 note=45 velocity=70 time=0)
Note 52 (E)| velocity 76 | tempo: 0 | time: 37.50 seconds | frame: 900 => Midi message: (note_on channel=0 note=52 velocity=76 time=0)
Note 57 (A)| velocity 76 | tempo: 0 | time: 37.71 seconds | frame: 905 => Midi message: (note_on channel=0 note=57 velocity=76 time=0)
